"";"Data";"MunicipioChave";"Tipo";"Confirmados";"Mortes";"UltimaData";"PopulacaoEstimadaEm2019";"ConfirmadosACada100K";"PorcentagemMorte";"InformadoMunicipio";"_TipoFato";"Cluster"
"1055";2020-04-20;"4100608-PR";"city";3;0;"True";"14770";"20.31144";0;"S";"ATUAL";2
"1056";2020-04-20;"4100905-PR";"city";1;0;"True";"6257";"15.9821";0;"S";"ATUAL";2
"1057";2020-04-20;"4101408-PR";"city";12;2;"True";"134996";"8.88915";0,1667;"S";"ATUAL";2
"1058";2020-04-20;"4101507-PR";"city";13;1;"True";"123027";"10.56679";0,0769;"S";"ATUAL";2
"1059";2020-04-20;"4101705-PR";"city";8;0;"True";"13970";"57.26557";0;"S";"ATUAL";2
"1060";2020-04-20;"4101804-PR";"city";5;0;"True";"143843";"3.47601";0;"S";"ATUAL";2
"1061";2020-04-20;"4101903-PR";"city";1;0;"True";"15119";"6.61419";0;"S";"ATUAL";2
"1062";2020-04-20;"4102000-PR";"city";9;0;"True";"33362";"26.9768";0;"S";"ATUAL";2
"1063";2020-04-20;"4102307-PR";"city";5;0;"True";"12941";"38.63689";0;"S";"ATUAL";2
"1064";2020-04-20;"4102406-PR";"city";3;1;"True";"31367";"9.56419";0,3333;"S";"ATUAL";2
"1065";2020-04-20;"4103701-PR";"city";4;0;"True";"106533";"3.75471";0;"S";"ATUAL";2
"1066";2020-04-20;"4103909-PR";"city";1;1;"True";"14202";"7.04126";1;"S";"ATUAL";2
"1067";2020-04-20;"4104006-PR";"city";5;0;"True";"43288";"11.55055";0;"S";"ATUAL";2
"1068";2020-04-20;"4104204-PR";"city";17;2;"True";"132002";"12.87859";0,1176;"S";"ATUAL";2
"1069";2020-04-20;"4104253-PR";"city";1;0;"True";"29318";"3.41087";0;"S";"ATUAL";2
"1070";2020-04-20;"4104303-PR";"city";23;4;"True";"94859";"24.24651";0,1739;"S";"ATUAL";2
"1071";2020-04-20;"4104808-PR";"city";64;3;"True";"328454";"19.48522";0,0469;"S";"ATUAL";3
"1072";2020-04-20;"4104907-PR";"city";2;0;"True";"71484";"2.79783";0;"S";"ATUAL";2
"1073";2020-04-20;"4105409-PR";"city";1;0;"True";"19254";"5.19373";0;"S";"ATUAL";2
"1074";2020-04-20;"4105508-PR";"city";14;1;"True";"82620";"16.94505";0,0714;"S";"ATUAL";2
"1075";2020-04-20;"4105805-PR";"city";8;0;"True";"243726";"3.28237";0;"S";"ATUAL";2
"1076";2020-04-20;"4106209-PR";"city";1;0;"True";"18584";"5.38097";0;"S";"ATUAL";2
"1077";2020-04-20;"4106407-PR";"city";1;0;"True";"47845";"2.09008";0;"S";"ATUAL";2
"1078";2020-04-20;"4106704-PR";"city";1;0;"True";"4469";"22.37637";0;"S";"ATUAL";2
"1079";2020-04-20;"4106902-PR";"city";369;9;"True";"1933105";"19.08846";0,0244;"S";"ATUAL";1
"1080";2020-04-20;"4107207-PR";"city";1;0;"True";"40641";"2.46057";0;"S";"ATUAL";2
"1081";2020-04-20;"4107603-PR";"city";1;0;"True";"17251";"5.79677";0;"S";"ATUAL";2
"1082";2020-04-20;"4107652-PR";"city";7;0;"True";"100209";"6.9854";0;"S";"ATUAL";2
"1083";2020-04-20;"4108304-PR";"city";38;0;"True";"258532";"14.69837";0;"S";"ATUAL";2
"1084";2020-04-20;"4108403-PR";"city";3;0;"True";"91093";"3.29334";0;"S";"ATUAL";2
"1085";2020-04-20;"4108601-PR";"city";4;0;"True";"28884";"13.8485";0;"S";"ATUAL";2
"1086";2020-04-20;"4108809-PR";"city";8;1;"True";"33119";"24.15532";0,125;"S";"ATUAL";2
"1087";2020-04-20;"4108908-PR";"city";1;0;"True";"6581";"15.19526";0;"S";"ATUAL";2
"1088";2020-04-20;"4109203-PR";"city";1;0;"True";"5502";"18.17521";0;"S";"ATUAL";2
"1089";2020-04-20;"4109302-PR";"city";5;0;"True";"12472";"40.0898";0;"S";"ATUAL";2
"1090";2020-04-20;"4109401-PR";"city";3;0;"True";"181504";"1.65286";0;"S";"ATUAL";2
"1091";2020-04-20;"4109708-PR";"city";1;0;"True";"31364";"3.18837";0;"S";"ATUAL";2
"1092";2020-04-20;"4109757-PR";"city";11;0;"True";"6352";"173.1738";0;"S";"ATUAL";2
"1093";2020-04-20;"4109807-PR";"city";1;0;"True";"54558";"1.83291";0;"S";"ATUAL";2
"1094";2020-04-20;"4110078-PR";"city";1;0;"True";"13111";"7.62718";0;"S";"ATUAL";2
"1095";2020-04-20;"4110805-PR";"city";1;1;"True";"10169";"9.83381";1;"S";"ATUAL";2
"1096";2020-04-20;"4111258-PR";"city";1;0;"True";"28634";"3.49235";0;"S";"ATUAL";2
"1097";2020-04-20;"4111506-PR";"city";6;1;"True";"31984";"18.75938";0,1667;"S";"ATUAL";2
"1098";2020-04-20;"4111803-PR";"city";1;0;"True";"39378";"2.53949";0;"S";"ATUAL";2
"1099";2020-04-20;"4111902-PR";"city";1;0;"True";"13620";"7.34214";0;"S";"ATUAL";2
"1100";2020-04-20;"4112405-PR";"city";1;0;"True";"9425";"10.61008";0;"S";"ATUAL";2
"1101";2020-04-20;"4112702-PR";"city";2;0;"True";"12588";"15.88815";0;"S";"ATUAL";2
"1102";2020-04-20;"4113007-PR";"city";1;1;"True";"7013";"14.25923";1;"S";"ATUAL";2
"1103";2020-04-20;"4113205-PR";"city";3;0;"True";"48163";"6.22885";0;"S";"ATUAL";2
"1104";2020-04-20;"4113403-PR";"city";1;0;"True";"3954";"25.29084";0;"S";"ATUAL";2
"1105";2020-04-20;"4113700-PR";"city";94;7;"True";"569733";"16.49896";0,0745;"S";"ATUAL";3
"1106";2020-04-20;"4114302-PR";"city";3;0;"True";"26869";"11.16528";0;"S";"ATUAL";2
"1107";2020-04-20;"4114500-PR";"city";1;1;"True";"13502";"7.40631";1;"S";"ATUAL";2
"1108";2020-04-20;"4114609-PR";"city";2;0;"True";"52944";"3.77758";0;"S";"ATUAL";2
"1109";2020-04-20;"4115200-PR";"city";41;5;"True";"423666";"9.67743";0,122;"S";"ATUAL";2
"1110";2020-04-20;"4115309-PR";"city";2;0;"True";"6610";"30.25719";0;"S";"ATUAL";2
"1111";2020-04-20;"4115507-PR";"city";2;0;"True";"4679";"42.74418";0;"S";"ATUAL";2
"1112";2020-04-20;"4115705-PR";"city";2;0;"True";"34720";"5.76037";0;"S";"ATUAL";2
"1113";2020-04-20;"4115804-PR";"city";4;0;"True";"46198";"8.65838";0;"S";"ATUAL";2
"1114";2020-04-20;"4116208-PR";"city";1;0;"True";"16406";"6.09533";0;"S";"ATUAL";2
"1115";2020-04-20;"4117107-PR";"city";1;0;"True";"13213";"7.5683";0;"S";"ATUAL";2
"1116";2020-04-20;"4117503-PR";"city";0;0;"True";"41281";"2.42242";0;"S";"ATUAL";2
"1117";2020-04-20;"4117602-PR";"city";1;0;"True";"50986";"1.96132";0;"S";"ATUAL";2
"1118";2020-04-20;"4117701-PR";"city";2;0;"True";"33877";"5.90371";0;"S";"ATUAL";2
"1119";2020-04-20;"4118105-PR";"city";4;0;"True";"11472";"34.8675";0;"S";"ATUAL";2
"1120";2020-04-20;"4118204-PR";"city";11;2;"True";"154936";"7.09971";0,1818;"S";"ATUAL";2
"1121";2020-04-20;"4118402-PR";"city";12;2;"True";"88374";"13.57865";0,1667;"S";"ATUAL";2
"1122";2020-04-20;"4118501-PR";"city";14;1;"True";"82881";"16.89169";0,0714;"S";"ATUAL";2
"1123";2020-04-20;"4118808-PR";"city";2;0;"True";"13996";"14.2898";0;"S";"ATUAL";2
"1124";2020-04-20;"4119152-PR";"city";18;1;"True";"132157";"13.62016";0,0556;"S";"ATUAL";2
"1125";2020-04-20;"4119251-PR";"city";1;0;"True";"2731";"36.61662";0;"S";"ATUAL";2
"1126";2020-04-20;"4119301-PR";"city";1;0;"True";"32391";"3.08728";0;"S";"ATUAL";2
"1127";2020-04-20;"4119509-PR";"city";3;0;"True";"113036";"2.65402";0;"S";"ATUAL";2
"1128";2020-04-20;"4119707-PR";"city";1;0;"True";"4263";"23.45766";0;"S";"ATUAL";2
"1129";2020-04-20;"4119905-PR";"city";7;0;"True";"351736";"1.99013";0;"S";"ATUAL";2
"1130";2020-04-20;"4120507-PR";"city";2;1;"True";"11123";"17.98076";0,5;"S";"ATUAL";2
"1131";2020-04-20;"4120705-PR";"city";2;1;"True";"7449";"26.84924";0,5;"S";"ATUAL";2
"1132";2020-04-20;"4120804-PR";"city";1;0;"True";"23559";"4.24466";0;"S";"ATUAL";2
"1133";2020-04-20;"4121208-PR";"city";2;0;"True";"19049";"10.49924";0;"S";"ATUAL";2
"1134";2020-04-20;"4121257-PR";"city";1;0;"True";"4451";"22.46686";0;"S";"ATUAL";2
"1135";2020-04-20;"4122206-PR";"city";4;0;"True";"32397";"12.34682";0;"S";"ATUAL";2
"1136";2020-04-20;"4122305-PR";"city";2;0;"True";"34170";"5.85309";0;"S";"ATUAL";2
"1137";2020-04-20;"4122404-PR";"city";3;0;"True";"66580";"4.50586";0;"S";"ATUAL";2
"1138";2020-04-20;"4123303-PR";"city";1;0;"True";"7800";"12.82051";0;"S";"ATUAL";2
"1139";2020-04-20;"4123402-PR";"city";7;1;"True";"12037";"58.15403";0,1429;"S";"ATUAL";2
"1140";2020-04-20;"4123709-PR";"city";0;0;"True";"8562";"11.67951";0;"S";"ATUAL";2
"1141";2020-04-20;"4123956-PR";"city";7;1;"True";"3981";"175.83522";0,1429;"S";"ATUAL";2
"1142";2020-04-20;"4124004-PR";"city";1;0;"True";"4992";"20.03205";0;"S";"ATUAL";2
"1143";2020-04-20;"4124053-PR";"city";1;0;"True";"23465";"4.26167";0;"S";"ATUAL";2
"1144";2020-04-20;"4124202-PR";"city";1;0;"True";"2641";"37.86445";0;"S";"ATUAL";2
"1145";2020-04-20;"4124905-PR";"city";6;0;"True";"5855";"102.47652";0;"S";"ATUAL";2
"1146";2020-04-20;"4125001-PR";"city";6;0;"True";"10219";"58.71416";0;"S";"ATUAL";2
"1147";2020-04-20;"4125506-PR";"city";18;0;"True";"323340";"5.5669";0;"S";"ATUAL";2
